name,full_name,description,topics,stars,url
tensorflow,tensorflow/tensorflow,An Open Source Machine Learning Framework for Everyone,"['deep-learning', 'deep-neural-networks', 'distributed', 'machine-learning', 'ml', 'neural-network', 'python', 'tensorflow']",193275,https://github.com/tensorflow/tensorflow
transformers,huggingface/transformers,"🤗 Transformers: the model-definition framework for state-of-the-art machine learning models in text, vision, audio, and multimodal models, for both inference and training. ","['audio', 'deep-learning', 'deepseek', 'gemma', 'glm', 'hacktoberfest', 'llm', 'machine-learning', 'model-hub', 'natural-language-processing', 'nlp', 'pretrained-models', 'python', 'pytorch', 'pytorch-transformers', 'qwen', 'speech-recognition', 'transformer', 'vlm']",154733,https://github.com/huggingface/transformers
pytorch,pytorch/pytorch,Tensors and Dynamic neural networks in Python with strong GPU acceleration,"['autograd', 'deep-learning', 'gpu', 'machine-learning', 'neural-network', 'numpy', 'python', 'tensor']",96440,https://github.com/pytorch/pytorch
ML-For-Beginners,microsoft/ML-For-Beginners,"12 weeks, 26 lessons, 52 quizzes, classic Machine Learning for all","['data-science', 'education', 'machine-learning', 'machine-learning-algorithms', 'machinelearning', 'machinelearning-python', 'microsoft-for-beginners', 'ml', 'python', 'r', 'scikit-learn', 'scikit-learn-python']",82957,https://github.com/microsoft/ML-For-Beginners
LLMs-from-scratch,rasbt/LLMs-from-scratch,"Implement a ChatGPT-like LLM in PyTorch from scratch, step by step","['ai', 'artificial-intelligence', 'chatbot', 'chatgpt', 'deep-learning', 'from-scratch', 'generative-ai', 'gpt', 'language-model', 'large-language-models', 'llm', 'machine-learning', 'neural-networks', 'python', 'pytorch', 'transformers']",82571,https://github.com/rasbt/LLMs-from-scratch
netdata,netdata/netdata,"The fastest path to AI-powered full stack observability, even for lean teams.","['ai', 'alerting', 'cncf', 'data-visualization', 'database', 'devops', 'docker', 'grafana', 'influxdb', 'kubernetes', 'linux', 'machine-learning', 'mcp', 'mongodb', 'monitoring', 'mysql', 'netdata', 'observability', 'postgresql', 'prometheus']",77279,https://github.com/netdata/netdata
d2l-zh,d2l-ai/d2l-zh,《动手学深度学习》：面向中文读者、能运行、可讨论。中英文版被70多个国家的500多所大学用于教学。,"['book', 'chinese', 'computer-vision', 'deep-learning', 'machine-learning', 'natural-language-processing', 'notebook', 'python']",74779,https://github.com/d2l-ai/d2l-zh
llm-course,mlabonne/llm-course,Course to get into Large Language Models (LLMs) with roadmaps and Colab notebooks.,"['course', 'large-language-models', 'llm', 'machine-learning', 'roadmap']",72628,https://github.com/mlabonne/llm-course
tesseract,tesseract-ocr/tesseract,Tesseract Open Source OCR Engine (main repository),"['hacktoberfest', 'lstm', 'machine-learning', 'ocr', 'ocr-engine', 'tesseract', 'tesseract-ocr']",71772,https://github.com/tesseract-ocr/tesseract
cs-video-courses,Developer-Y/cs-video-courses,List of Computer Science courses with video lectures.,"['algorithms', 'bioinformatics', 'computational-biology', 'computational-physics', 'computer-architecture', 'computer-science', 'computer-vision', 'database-systems', 'databases', 'deep-learning', 'embedded-systems', 'machine-learning', 'quantum-computing', 'reinforcement-learning', 'robotics', 'security', 'systems', 'web-development']",70527,https://github.com/Developer-Y/cs-video-courses
awesome-scalability,binhnguyennus/awesome-scalability,"The Patterns of Scalable, Reliable, and Performant Large-Scale Systems","['architecture', 'awesome', 'awesome-list', 'backend', 'big-data', 'computer-science', 'design-patterns', 'devops', 'distributed-systems', 'interview', 'interview-practice', 'interview-questions', 'lists', 'machine-learning', 'programming', 'resources', 'scalability', 'system', 'system-design', 'web-development']",67631,https://github.com/binhnguyennus/awesome-scalability
annotated_deep_learning_paper_implementations,labmlai/annotated_deep_learning_paper_implementations,"🧑‍🏫 60+ Implementations/tutorials of deep learning papers with side-by-side notes 📝; including transformers (original, xl, switch, feedback, vit, ...), optimizers (adam, adabelief, sophia, ...), gans(cyclegan, stylegan2, ...), 🎮 reinforcement learning (ppo, dqn), capsnet, distillation, ... 🧠","['attention', 'deep-learning', 'deep-learning-tutorial', 'gan', 'literate-programming', 'lora', 'machine-learning', 'neural-networks', 'optimizers', 'pytorch', 'reinforcement-learning', 'transformer', 'transformers']",65216,https://github.com/labmlai/annotated_deep_learning_paper_implementations
scikit-learn,scikit-learn/scikit-learn,scikit-learn: machine learning in Python,"['data-analysis', 'data-science', 'machine-learning', 'python', 'statistics']",64564,https://github.com/scikit-learn/scikit-learn
keras,keras-team/keras,Deep Learning for humans,"['data-science', 'deep-learning', 'jax', 'machine-learning', 'neural-networks', 'python', 'pytorch', 'tensorflow']",63694,https://github.com/keras-team/keras
OpenBB,OpenBB-finance/OpenBB,"Financial data platform for analysts, quants and AI agents.","['ai', 'crypto', 'derivatives', 'economics', 'equity', 'finance', 'fixed-income', 'machine-learning', 'openbb', 'options', 'python', 'quantitative-finance', 'stocks']",57580,https://github.com/OpenBB-finance/OpenBB
yolov5,ultralytics/yolov5,YOLOv5 🚀 in PyTorch > ONNX > CoreML > TFLite,"['coreml', 'deep-learning', 'ios', 'machine-learning', 'ml', 'object-detection', 'onnx', 'pytorch', 'tflite', 'ultralytics', 'yolo', 'yolov3', 'yolov5']",56581,https://github.com/ultralytics/yolov5
face_recognition,ageitgey/face_recognition,The world's simplest facial recognition api for Python and the command line,"['face-detection', 'face-recognition', 'machine-learning', 'python']",56006,https://github.com/ageitgey/face_recognition
faceswap,deepfakes/faceswap,Deepfakes Software For All,"['deep-face-swap', 'deep-learning', 'deep-neural-networks', 'deepface', 'deepfakes', 'deeplearning', 'face-swap', 'faceswap', 'fakeapp', 'machine-learning', 'myfakeapp', 'neural-nets', 'neural-networks', 'openfaceswap']",54856,https://github.com/deepfakes/faceswap
llm-app,pathwaycom/llm-app,"Ready-to-run cloud templates for RAG, AI pipelines, and enterprise search with live data. 🐳Docker-friendly.⚡Always in sync with Sharepoint, Google Drive, S3, Kafka, PostgreSQL, real-time data APIs, and more.","['chatbot', 'hugging-face', 'llm', 'llm-local', 'llm-prompting', 'llm-security', 'llmops', 'machine-learning', 'open-ai', 'pathway', 'rag', 'real-time', 'retrieval-augmented-generation', 'vector-database', 'vector-index']",53297,https://github.com/pathwaycom/llm-app
ultralytics,ultralytics/ultralytics,Ultralytics YOLO 🚀,"['cli', 'computer-vision', 'deep-learning', 'hub', 'image-classification', 'instance-segmentation', 'machine-learning', 'object-detection', 'pose-estimation', 'python', 'pytorch', 'rotated-object-detection', 'segment-anything', 'tracking', 'ultralytics', 'yolo', 'yolo-world', 'yolo11', 'yolo26', 'yolov8']",50883,https://github.com/ultralytics/ultralytics
union,unionlabs/union,"The trust-minimized, zero-knowledge bridging protocol, designed for censorship resistance, extremely high security, and usage in decentralized finance.","['astro', 'blockchain', 'cosmos', 'cosmwasm', 'ethereum', 'evm', 'golang', 'indexer', 'interoperability', 'move', 'nix', 'prover', 'relayer', 'rust', 'solidity', 'svelte', 'typescipt', 'typescript', 'zero-knowledge']",74415,https://github.com/unionlabs/union
fuel-core,FuelLabs/fuel-core,Rust full node implementation of the Fuel v2 protocol.,"['blockchain', 'fuel']",57417,https://github.com/FuelLabs/fuel-core
go-ethereum,ethereum/go-ethereum,Go implementation of the Ethereum protocol,"['blockchain', 'ethereum', 'geth', 'go', 'p2p']",50649,https://github.com/ethereum/go-ethereum
anoma,anoma/anoma,Reference implementation of Anoma,"['blockchain', 'consensus', 'cryptography', 'distributed-systems', 'elixir', 'erlang', 'operating-system', 'p2p', 'protocol']",34151,https://github.com/anoma/anoma
linera-protocol,linera-io/linera-protocol,Main repository for the Linera protocol,"['blockchain', 'rust', 'wasm']",31956,https://github.com/linera-io/linera-protocol
shardeum,shardeum/shardeum,Shardeum is an EVM based autoscaling blockchain,"['blockchain', 'dapp', 'ethereum', 'evm', 'evm-blockchain', 'payments', 'sharding', 'typescript']",31646,https://github.com/shardeum/shardeum
